ts_ms,op,lat_ms,hops,k,ext
1777907033904,GET,47,4,k47,reqs=50
1777907033906,GET,99,3,k26,reqs=50
1777907033907,GET,135,2,k11,reqs=50
1777907033910,GET,149,2,k2,reqs=50
1777907033912,GET,65,2,k41,reqs=50
1777907033915,GET,64,4,k42,reqs=50
1777907033920,GET,64,2,k46,reqs=50
1777907034788,GET,58,3,k11,reqs=50
1777907034830,GET,111,4,k5,reqs=50
1777907034829,GET,54,3,k29,reqs=50
1777907034829,GET,108,2,k3,reqs=50
1777907034827,GET,75,4,k21,reqs=50
1777907034827,GET,77,3,k20,reqs=50
1777907034826,GET,24,3,k42,reqs=50
1777907034825,GET,84,4,k16,reqs=50
1777907034832,GET,101,4,k12,reqs=50
1777907034824,GET,34,2,k37,reqs=50
1777907034824,GET,28,3,k38,reqs=50
1777907034824,GET,33,4,k36,reqs=50
1777907034824,GET,52,2,k28,reqs=50
1777907034822,GET,57,3,k24,reqs=50
1777907034820,GET,52,2,k26,reqs=50
1777907034818,GET,72,3,k18,reqs=50
1777907034818,GET,56,2,k23,reqs=50
1777907034818,GET,71,2,k19,reqs=50
1777907034815,GET,37,4,k32,reqs=50
1777907034811,GET,84,2,k10,reqs=50
1777907034808,GET,88,2,k4,reqs=50
1777907034807,GET,31,3,k31,reqs=50
1777907034804,GET,69,3,k14,reqs=50
1777907034803,GET,83,4,k7,reqs=50
1777907034803,GET,81,4,k8,reqs=50
1777907034802,GET,82,3,k0,reqs=50
1777907034802,GET,39,3,k25,reqs=50
1777907034801,GET,82,2,k6,reqs=50
1777907034800,GET,62,4,k15,reqs=50
1777907034799,GET,28,3,k27,reqs=50
1777907034790,GET,47,3,k17,reqs=50
1777907034837,GET,116,3,k1,reqs=50
1777907034836,GET,114,2,k9,reqs=50
1777907034833,GET,100,2,k13,reqs=50
1777907034833,GET,115,4,k2,reqs=50
1777907034832,GET,28,4,k43,reqs=50
1777907034831,GET,53,4,k30,reqs=50
1777907034843,GET,29,3,k46,reqs=50
1777907034843,GET,45,4,k39,reqs=50
1777907034844,GET,87,4,k22,reqs=50
1777907034846,GET,66,2,k33,reqs=50
1777907034858,GET,49,3,k45,reqs=50
1777907034859,GET,67,3,k34,reqs=50
1777907034859,GET,53,4,k44,reqs=50
1777907034862,GET,62,2,k40,reqs=50
1777907034863,GET,69,3,k35,reqs=50
1777907034864,GET,63,4,k41,reqs=50
1777907034877,GET,59,2,k48,reqs=50
1777907034886,GET,70,4,k47,reqs=50
1777907034887,GET,69,2,k49,reqs=50
1777907035767,GET,34,4,k25,reqs=50
1777907035805,GET,50,2,k34,reqs=50
1777907035802,GET,83,3,k19,reqs=50
1777907035798,GET,40,4,k36,reqs=50
1777907035806,GET,50,3,k35,reqs=50
1777907035798,GET,105,2,k9,reqs=50
1777907035798,GET,21,2,k44,reqs=50
1777907035798,GET,47,2,k31,reqs=50
1777907035798,GET,68,3,k24,reqs=50
1777907035796,GET,44,3,k32,reqs=50
1777907035795,GET,91,4,k13,reqs=50
1777907035795,GET,94,2,k12,reqs=50
1777907035794,GET,103,3,k7,reqs=50
1777907035790,GET,24,3,k40,reqs=50
1777907035789,GET,52,4,k26,reqs=50
1777907035788,GET,25,3,k38,reqs=50
1777907035788,GET,64,3,k22,reqs=50
1777907035787,GET,95,3,k2,reqs=50
1777907035787,GET,93,4,k10,reqs=50
1777907035787,GET,54,4,k23,reqs=50
1777907035787,GET,98,2,k5,reqs=50
1777907035786,GET,94,2,k8,reqs=50
1777907035786,GET,85,3,k11,reqs=50
1777907035785,GET,95,4,k4,reqs=50
1777907035785,GET,63,3,k21,reqs=50
1777907035782,GET,37,3,k30,reqs=50
1777907035782,GET,44,3,k27,reqs=50
1777907035777,GET,37,3,k28,reqs=50
1777907035775,GET,85,4,k3,reqs=50
1777907035775,GET,86,4,k1,reqs=50
1777907035774,GET,32,3,k29,reqs=50
1777907035771,GET,55,2,k18,reqs=50
1777907035767,GET,57,4,k16,reqs=50
1777907035813,GET,54,3,k37,reqs=50
1777907035813,GET,123,4,k0,reqs=50
1777907035812,GET,99,3,k17,reqs=50
1777907035812,GET,39,2,k41,reqs=50
1777907035810,GET,102,4,k15,reqs=50
1777907035808,GET,103,3,k14,reqs=50
1777907035806,GET,115,4,k6,reqs=50
1777907035816,GET,95,3,k20,reqs=50
1777907035818,GET,37,4,k46,reqs=50
1777907035821,GET,57,3,k39,reqs=50
1777907035825,GET,72,3,k33,reqs=50
1777907035833,GET,52,4,k47,reqs=50
1777907035835,GET,55,3,k45,reqs=50
1777907035837,GET,62,2,k42,reqs=50
1777907035844,GET,68,3,k43,reqs=50
1777907035856,GET,68,3,k49,reqs=50
1777907035856,GET,70,3,k48,reqs=50
1777907036747,GET,27,4,k34,reqs=75
1777907036834,GET,42,2,k65,reqs=75
1777907036833,GET,78,3,k50,reqs=75
1777907036833,GET,72,2,k52,reqs=75
1777907036833,GET,66,3,k55,reqs=75
1777907036833,GET,46,4,k63,reqs=75
