timestamp_ms,operation,latency_ms,hop_count,key,extra
1779294418530,PUT,82,4,benchKey_11_8,bytes=29;client_id=11;clients=20;active_nodes=3
1779294418531,PUT,83,4,benchKey_0_8,bytes=28;client_id=0;clients=20;active_nodes=3
1779294418556,PUT,82,4,benchKey_9_9,bytes=28;client_id=9;clients=20;active_nodes=3
1779294418557,PUT,82,4,benchKey_5_9,bytes=28;client_id=5;clients=20;active_nodes=3
1779294418563,PUT,83,4,benchKey_16_9,bytes=29;client_id=16;clients=20;active_nodes=3
1779294418573,PUT,41,4,benchKey_11_9,bytes=29;client_id=11;clients=20;active_nodes=3
1779294418577,PUT,82,4,benchKey_17_9,bytes=29;client_id=17;clients=20;active_nodes=3
1779294418578,PUT,83,4,benchKey_6_9,bytes=28;client_id=6;clients=20;active_nodes=3
1779294418578,PUT,83,4,benchKey_15_9,bytes=29;client_id=15;clients=20;active_nodes=3
1779294418595,PUT,85,4,benchKey_18_9,bytes=29;client_id=18;clients=20;active_nodes=3
1779294418596,PUT,84,4,benchKey_8_9,bytes=28;client_id=8;clients=20;active_nodes=3
1779294418596,PUT,83,4,benchKey_14_9,bytes=29;client_id=14;clients=20;active_nodes=3
1779294418597,PUT,84,4,benchKey_1_9,bytes=28;client_id=1;clients=20;active_nodes=3
1779294418598,PUT,83,4,benchKey_13_9,bytes=29;client_id=13;clients=20;active_nodes=3
1779294418598,PUT,85,4,benchKey_2_9,bytes=28;client_id=2;clients=20;active_nodes=3
1779294418604,PUT,83,4,benchKey_3_9,bytes=28;client_id=3;clients=20;active_nodes=3
1779294418605,PUT,82,4,benchKey_10_9,bytes=29;client_id=10;clients=20;active_nodes=3
1779294418606,PUT,84,4,benchKey_19_9,bytes=29;client_id=19;clients=20;active_nodes=3
1779294418607,PUT,82,4,benchKey_12_9,bytes=29;client_id=12;clients=20;active_nodes=3
1779294418612,PUT,82,4,benchKey_4_9,bytes=28;client_id=4;clients=20;active_nodes=3
1779294418613,PUT,82,4,benchKey_7_9,bytes=28;client_id=7;clients=20;active_nodes=3
1779294418614,PUT,82,4,benchKey_0_9,bytes=28;client_id=0;clients=20;active_nodes=3
1779294425848,PUT,93,4,benchKey_10_0,bytes=29;client_id=10;clients=20;active_nodes=5
1779294425849,PUT,95,4,benchKey_18_0,bytes=29;client_id=18;clients=20;active_nodes=5
1779294425849,PUT,93,4,benchKey_0_0,bytes=28;client_id=0;clients=20;active_nodes=5
1779294425849,PUT,91,4,benchKey_15_0,bytes=29;client_id=15;clients=20;active_nodes=5
1779294425849,PUT,97,4,benchKey_12_0,bytes=29;client_id=12;clients=20;active_nodes=5
1779294425849,PUT,91,4,benchKey_6_0,bytes=28;client_id=6;clients=20;active_nodes=5
1779294425849,PUT,93,4,benchKey_1_0,bytes=28;client_id=1;clients=20;active_nodes=5
1779294425850,PUT,91,4,benchKey_17_0,bytes=29;client_id=17;clients=20;active_nodes=5
